Z09380000                       USGS 
H09380000       3651511113516000404005SW140700061105111800.0       3109.13           
N09380000       COLORADO RIVER AT LEES FERRY, AZ
Y09380000       
309380000       1884     21000027BdBmR        31.503BdBm                  
309380000       19210618 1700002R             26.50   3                  
309380000       19220531 116000               19.80   3                  
309380000       19230531  98300               17.50   6                  
309380000       19240617  76200               15.20                      
309380000       19250603  54900               13.60                      
309380000       19260529  86500               16.70                      
309380000       19270701 127000               20.35                      
309380000       19280603 115000               19.55                      
309380000       19290529 114000               18.89                      
309380000       19300603  73300               15.15                      
309380000       19310521  34600               12.05                      
309380000       19320526 102000               18.30                      
309380000       19330605  82700               16.45                      
309380000       19340516  25300               11.05                      
309380000       19350619 105000               18.90                      
309380000       19360523  76300               16.14                      
309380000       19370520  84800               16.88                      
309380000       19380608 101000               18.45                      
309380000       19390526  49700               13.86                      
309380000       19400518  47200               13.54                      
309380000       19410517 120000               20.51                      
309380000       19420530  92800               17.30                      
309380000       19430605  68600               15.14                      
309380000       19440519  94400               17.20                      
309380000       19450517  64400               14.90                      
309380000       19460614  50400               13.66                      
309380000       19470513  80400               16.26                      
309380000       19480525  92400               17.76                      
309380000       19490622 119000               20.00                      
309380000       19500606  60600               14.81                      
309380000       19510601  67300               15.27                      
309380000       19520612 123000               21.15                      
309380000       19530617  69600               15.60                      
309380000       19540526  34300               12.04                      
309380000       19550613  35600               12.41                      
309380000       19560606  69600               15.68                      
309380000       19570612 126000               21.14                      
309380000       19580601 106000               19.00                      
309380000       19590619  38900               12.53                      
309380000       19600608  46700               13.43                      
309380000       19610605  40200               12.78                      
309380000       19620516  85000               17.22                      
309380000       19621021  192006              10.08                      
309380000       19640428  202006              10.34                      
309380000       19650615  602006              15.02                      
309380000       19660503  211006              10.92                      
309380000       19670419  225006              11.10                      
309380000       19680719  268006              11.73                      
309380000       19690828  261006              11.63                      
309380000       19700826  273006              11.70                      
309380000       19710405  287006              11.94                      
309380000       19720712  306006              12.06                      
309380000       19730328  310006              12.06                      
309380000       19740102  277006              11.68                      
309380000       19750507  284006              11.79                      
309380000       19760519  271006              11.60                      
309380000       19770907  290006              11.88                      
309380000       19780123  284006              11.80                      
309380000       19790129  286006              11.82                      
309380000       19800624  448006              13.87                      
309380000       19810720  259006              11.42                      
309380000       19820525  297006              11.98                      
309380000       19830629  973006              18.14                      
309380000       19840812  582006              15.18                      
309380000       19850602  479006              14.09                      
309380000       19860513  532006              14.50                      
309380000       19861203  315006              12.21                      
309380000       19880728  271006              11.73                      
309380000       19890828  284006              11.91                      
309380000       19900731  295006              11.95                      
309380000       19910617  295006              11.95                      
309380000       19920814  187006              10.45                      
309380000       19930816  199006              10.55                      
309380000       19940817  222006              10.92                      
309380000       19950601  201006              10.66                      
309380000       19960329  459006              13.97                      
309380000       19970612  271006              11.68                      
309380000       19971104  308006              12.10   2                  
309380000       19990920  251006              11.35                      
309380000       20000907  311006              12.15                      
309380000       20010507  203006              10.61                      
309380000       20020807  190006              10.39                      
309380000       20030202  203006              10.62                      
309380000       20040105  209006              10.71                      
309380000       20041122  425006              13.55                      
309380000       20060830  188006              10.37                      
309380000       20070723  186006              10.38                      
309380000       20080306  428006              13.59                      
309380000       20090720  176006              10.16                      
309380000       20100101  192006              10.43                      
309380000       20110707  262006              11.57                      
309380000       20111120  212006              10.83                      
309380000       20121120  448006              13.84                      
309380000       20131114  377006              12.94                      
309380000       20141111  384006              13.03                      
309380000       20160706  204006              10.68                      
309380000       20161108  368006              13.03                      
309380000       20180706  190006              10.48                 10.50
309380000       20181106  397006              13.32                      
309380000       20200817  213006              10.80                      
309380000       20210323  202006              10.77                      
309380000       20220829  162006              10.04                      
309380000       20230424  403006              13.46                      
