Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres,Capacity_acrefeet
3120.08,3117.17,0.01,0.04
3120.41,3117.49,0.01,0.04
3120.74,3117.82,0.01,0.05
3121.06,3118.15,0.01,0.05
3121.39,3118.48,0.01,0.06
3121.72,3118.81,0.01,0.06
3122.05,3119.13,0.01,0.06
3122.38,3119.46,0.01,0.07
3122.7,3119.79,0.01,0.07
3123.03,3120.12,0.02,0.08
3123.36,3120.45,0.02,0.08
3123.69,3120.77,0.02,0.09
3124.02,3121.1,0.02,0.09
3124.34,3121.43,0.02,0.1
3124.67,3121.76,0.02,0.1
3125,3122.09,0.02,0.11
3125.33,3122.42,0.02,0.12
3125.66,3122.74,0.02,0.12
3125.98,3123.07,0.02,0.13
3126.31,3123.4,0.02,0.13
3126.64,3123.73,0.02,0.14
3126.97,3124.06,0.02,0.15
3127.3,3124.38,0.02,0.16
3127.62,3124.71,0.02,0.16
3127.95,3125.04,0.02,0.17
3128.28,3125.37,0.02,0.18
3128.61,3125.7,0.03,0.19
3128.94,3126.02,0.03,0.2
3129.27,3126.35,0.03,0.21
3129.59,3126.68,0.03,0.21
3129.92,3127.01,0.03,0.22
3130.25,3127.34,0.03,0.23
3130.58,3127.66,0.03,0.24
3130.91,3127.99,0.03,0.25
3131.23,3128.32,0.03,0.26
3131.56,3128.65,0.03,0.27
3131.89,3128.98,0.03,0.28
3132.22,3129.3,0.03,0.29
3132.55,3129.63,0.03,0.3
3132.87,3129.96,0.03,0.31
3133.2,3130.29,0.03,0.32
3133.53,3130.62,0.03,0.33
3133.86,3130.95,0.03,0.34
3134.19,3131.27,0.03,0.36
3134.51,3131.6,0.04,0.37
3134.84,3131.93,0.04,0.38
3135.17,3132.26,0.04,0.39
3135.5,3132.59,55.42,2.85
3135.83,3132.91,55.5,21.05
3136.15,3133.24,55.59,39.28
3136.48,3133.57,55.67,57.52
3136.81,3133.9,55.78,75.8
3137.14,3134.23,55.97,94.13
3137.47,3134.55,56.19,112.53
3137.8,3134.88,56.46,131.01
